kontrakty godzinowe RDN dla okresu od;2016-12-31;do;2020-06-30;

data obrotu;data dostawy;godzina dostawy;kurs fixingu I (PLN/MWh);wolumen fixingu I (MWh);kurs fixingu II (PLN/MWh);wolumen fixingu II (MWh);kurs notowan ciaglych (PLN/MWh);wolumen notowan ciaglych (MWh)
2016-12-31;2017-01-01;01;107.52;1890.90;105.61;347.10;102.95;69.90
2016-12-31;2017-01-01;02;104.40;2287.60;105.61;355.80;100.88;75.00
2016-12-31;2017-01-01;03;83.66;2243.80;105.57;424.40;81.51;24.80
2016-12-31;2017-01-01;04;75.15;2403.60;101.26;641.30;74.13;69.00
2016-12-31;2017-01-01;05;74.99;2441.70;82.93;640.60;73.13;68.90
2016-12-31;2017-01-01;06;73.50;2436.00;80.08;633.70;72.76;116.90
2016-12-31;2017-01-01;07;70.99;1438.00;70.98;414.10;70.88;394.00
2016-12-31;2017-01-01;08;70.99;1385.70;71.02;405.40;70.88;394.00
2016-12-31;2017-01-01;09;70.99;1471.40;71.07;406.10;70.89;402.40
2016-12-31;2017-01-01;10;72.64;1930.70;79.11;809.20;72.64;538.10
2016-12-31;2017-01-01;11;83.49;1730.10;91.11;784.10;83.29;173.10
2016-12-31;2017-01-01;12;90.20;1952.10;113.22;802.90;-;-
2016-12-31;2017-01-01;13;104.10;1742.60;113.39;810.10;-;-
2016-12-31;2017-01-01;14;104.39;1673.90;113.57;860.70;-;-
2016-12-31;2017-01-01;15;104.39;1692.00;113.61;884.00;-;-
2016-12-31;2017-01-01;16;104.39;1842.90;105.79;415.10;107.00;3.50
2016-12-31;2017-01-01;17;113.99;1825.00;131.50;389.10;113.99;19.80
2016-12-31;2017-01-01;18;130.10;1834.60;132.99;481.80;130.12;19.60
2016-12-31;2017-01-01;19;130.29;1786.50;135.15;483.40;130.29;19.20
2016-12-31;2017-01-01;20;124.65;1852.80;133.30;540.20;-;-
2016-12-31;2017-01-01;21;113.83;1941.10;117.35;409.30;113.83;17.80
2016-12-31;2017-01-01;22;114.37;2229.60;131.59;612.20;114.37;17.90
2016-12-31;2017-01-01;23;112.00;2272.60;130.31;815.10;112.00;17.10
2016-12-31;2017-01-01;24;85.39;2486.30;113.22;863.60;-;-
2017-01-01;2017-01-02;01;104.17;2669.50;113.04;789.00;108.99;192.60
2017-01-01;2017-01-02;02;82.73;2828.30;86.98;771.10;87.33;75.00
2017-01-01;2017-01-02;03;77.56;3003.20;83.94;784.10;84.80;75.00
2017-01-01;2017-01-02;04;75.27;2974.30;83.02;794.10;85.53;75.00
2017-01-01;2017-01-02;05;83.97;2808.00;90.14;792.10;92.53;75.00
2017-01-01;2017-01-02;06;104.40;2394.20;113.00;797.10;113.00;30.00
2017-01-01;2017-01-02;07;129.91;2065.30;119.98;343.20;134.37;96.10
2017-01-01;2017-01-02;08;136.62;2362.10;140.33;504.10;-;-
2017-01-01;2017-01-02;09;149.28;1994.20;154.65;385.50;-;-
2017-01-01;2017-01-02;10;166.39;1674.90;164.32;957.20;173.95;50.30
2017-01-01;2017-01-02;11;168.30;1427.40;164.67;986.30;174.71;56.00
2017-01-01;2017-01-02;12;172.36;1341.90;167.33;982.50;180.63;75.00
2017-01-01;2017-01-02;13;170.98;1542.80;168.53;942.00;183.07;70.00
2017-01-01;2017-01-02;14;172.58;1445.30;168.35;986.20;184.94;70.00
2017-01-01;2017-01-02;15;171.98;1483.00;166.53;1202.10;184.00;50.00
2017-01-01;2017-01-02;16;174.71;1535.70;167.07;1242.40;178.00;50.00
2017-01-01;2017-01-02;17;185.81;1241.70;173.72;1137.00;187.58;110.60
2017-01-01;2017-01-02;18;193.01;1253.60;177.44;983.90;194.55;171.80
2017-01-01;2017-01-02;19;184.48;1344.20;173.72;1059.30;182.69;130.20
2017-01-01;2017-01-02;20;179.08;1439.10;170.75;1211.50;181.00;10.00
2017-01-01;2017-01-02;21;175.57;1689.80;169.64;1147.90;175.34;23.60
2017-01-01;2017-01-02;22;160.36;2096.70;165.82;1193.70;-;-
2017-01-01;2017-01-02;23;152.31;2300.00;146.31;812.60;152.27;142.30
2017-01-01;2017-01-02;24;137.56;2162.10;137.22;328.30;141.00;100.00
2017-01-02;2017-01-03;01;130.00;2094.30;135.17;463.20;-;-
2017-01-02;2017-01-03;02;126.01;2012.30;133.93;858.30;-;-
2017-01-02;2017-01-03;03;114.72;2127.10;127.58;825.10;-;-
2017-01-02;2017-01-03;04;115.30;2120.10;127.63;837.10;-;-
2017-01-02;2017-01-03;05;126.13;1970.30;129.79;869.30;-;-
2017-01-02;2017-01-03;06;135.95;2099.50;142.18;625.90;-;-
2017-01-02;2017-01-03;07;140.00;1770.80;145.40;500.50;148.00;22.00
2017-01-02;2017-01-03;08;161.80;1884.70;158.59;970.70;-;-
2017-01-02;2017-01-03;09;166.98;1997.90;162.94;1177.30;-;-
2017-01-02;2017-01-03;10;172.30;1990.20;171.75;1101.20;-;-
2017-01-02;2017-01-03;11;171.71;2230.20;181.90;1101.20;192.31;398.40
2017-01-02;2017-01-03;12;173.39;2247.10;183.05;1109.90;197.19;372.00
2017-01-02;2017-01-03;13;169.91;2035.50;170.38;1292.60;190.99;250.00
2017-01-02;2017-01-03;14;169.91;1926.70;166.79;1196.90;191.24;330.80
2017-01-02;2017-01-03;15;154.84;1982.10;153.50;1191.10;188.40;119.00
2017-01-02;2017-01-03;16;153.03;2056.50;152.88;1196.10;-;-
2017-01-02;2017-01-03;17;166.63;2176.50;155.36;1290.10;-;-
2017-01-02;2017-01-03;18;167.45;2285.90;154.78;1289.10;-;-
2017-01-02;2017-01-03;19;153.91;2160.20;150.89;1264.20;-;-
2017-01-02;2017-01-03;20;142.77;2088.60;145.88;820.00;152.01;1.00
2017-01-02;2017-01-03;21;135.01;2021.50;140.87;642.80;-;-
2017-01-02;2017-01-03;22;114.78;2313.20;134.55;718.80;-;-
2017-01-02;2017-01-03;23;103.39;2088.60;113.25;673.30;103.39;47.90
2017-01-02;2017-01-03;24;77.55;1515.40;73.65;790.50;79.60;237.00
2017-01-03;2017-01-04;01;73.50;2241.50;71.99;576.20;72.80;28.00
2017-01-03;2017-01-04;02;73.49;1920.40;71.77;603.90;72.74;30.00
2017-01-03;2017-01-04;03;72.50;1968.40;71.73;575.20;72.03;15.00
2017-01-03;2017-01-04;04;72.51;1946.20;71.77;593.20;72.26;29.00
2017-01-03;2017-01-04;05;73.49;2199.70;71.86;684.90;72.00;16.00
2017-01-03;2017-01-04;06;75.95;2439.40;75.68;777.60;73.65;36.00
2017-01-03;2017-01-04;07;109.92;2397.60;104.12;447.50;106.28;73.00
2017-01-03;2017-01-04;08;134.41;2418.30;134.71;487.90;134.41;136.00
2017-01-03;2017-01-04;09;136.79;2427.70;135.15;502.10;136.79;136.00
2017-01-03;2017-01-04;10;154.58;2435.00;148.56;1365.10;154.58;20.00
2017-01-03;2017-01-04;11;156.11;2556.10;148.48;1489.10;-;-
2017-01-03;2017-01-04;12;155.91;2502.40;158.37;1389.10;154.63;40.40
2017-01-03;2017-01-04;13;155.17;2514.40;155.58;1389.10;154.42;55.40
2017-01-03;2017-01-04;14;156.22;2458.90;161.28;1389.10;156.14;41.70
2017-01-03;2017-01-04;15;157.93;2589.40;150.77;1190.00;157.93;26.00
